Project,Address,Address (Obscured),Address_Clean,Watershed,Building Use,"Solar over Ecoroof",Type,Year Built,Size (sf),Number,Latitude(Non Obscured),Longitude (Non Obscured),Confidence (Non Obscured),Latitude,Longitude,Confidence,Depth Min,Depth Max,Depth Notes,Composition,Irrigation,Irrigation Notes,Drainage,Plants,Maintenance,Contractor,Notes
The Woodlawn,6808 NE Durham Ave,6808 NE Durham Ave,,Columbia Slough,commercial,,New,2014,4700,1,,,,,,,,,,,,,,,,,
Metro Oregon Zoo Elephant Barn,4001 SW Canyon Rd,4001 SW Canyon Rd,,Willamette,governmental,,New,2015,5300,1,,,,,,,,,,,,,,,,,
Legacy Emanuel Medical Center,2801 N Gantenein Ave,2801 N Gantenein Ave,,Willamette,institutional,,New,2014,60,1,,,,,,,,,,,,,,,,,
Stephens Creek Crossing,6650 SW Capitol Hwy,6650 SW Capitol Hwy,,Willamette,commercial,,New,2014,17000,2,,,,,,,,,,,,,,,,,
residence,6116 SE Stephens St,,,Willamette,residential,,New,2013,290,1,,,,,,,,,,,,,,,,,
residence,2712 SE Salmon St,,,Willamette,residential,,New,2014,140,1,,,,,,,,,,,,,,,,,
Nick Weitzer Company,3909 SE Lincoln St,3909 SE Lincoln St,,Willamette,commercial,,New,2013,600,1,,,,,,,,,,,,,,,,,
Apple,710 SW 5th Ave,710 SW 5th Ave,,Willamette,commercial,,New,2014,10000,1,,,,,,,,,,,,,,,,,
Trimet South Waterfront,2997 SW Moody Ave,2997 SW Moody Ave,,Willamette,commercial,,New,2014,1450,1,,,,,,,,,,,,,,,,Dan Manning,
Trimet Sellwood,SE Tacoma Park and Ride Rd,SE Tacoma Park and Ride Rd,,Willamette,commercial,,New,2014,500,1,,,,,,,,,,,,,,,,,
residence,0203 SW Palater Rd,,,Fanno/Tryon,residential,,New,2014,1700,1,,,,,,,,,,,,,,,,,
Trio Club,909 E Burnside St,909 E Burnside St,,Willamette,commercial,,New,2013,4100,1,,,,,,,,,,,,,,,,,
Williams Townhomes,4804 N Williams Ave,4804 N Williams Ave,,Willamette,commercial,,New,2013,3500,1,,,,,,,,,,,,,,,,,
residence,2865 NW Cornell Rd,,,Willamette,residential,,Reroof,2014,250,1,,,,,,,,,,,,,,,,,
COP Emergency Coordination Center,3732 SE 99th Ave,3732 SE 99th Ave,,Johnson Creek,governmental,,New,2013,10500,1,,,,,,,,,,,,,,,,,
New Seasons Williams,3445 N Williams Ave,3445 N Williams Ave,,Willamette,commercial,,New,2014,330,1,,,,,,,,,,,,,,,,,
3339 Apartments,3339 SE Division St,3339 SE Division St,,Willamette,commercial,,New,2013,750,1,,,,,,,,,,,,,,,,,
residence,4830 NE 32nd Ave,,,Columbia Slough,residential,,New,2014,190,1,,,,,,,,,,,,,,,,,
residence,2531 NE 38th Ave,,,Willamette,residential,,New,2014,160,1,,,,,,,,,,,,,,,,,
Gunderson #3,4350 NW Front Ave,4350 NW Front Ave,,Willamette,commercial,,Reroof,2014,2300,1,,,,,,,,,,,,,,,,,
COP Whitaker Ponds pump station ,6916 NE 47th Ave,6916 NE 47th Ave,,Columbia Slough,governmental,,New,2014,250,1,,,,,,,,,,,,,,,,,
Couve,3724 N Vancouver Ave,3724 N Vancouver Ave,,Willamette,commercial,,New,2014,380,1,,,,,,,,,,,,,,,,,
New York building,2110 NW York St,2110 NW York St,,Willamette,commercial,,New,2015,400,1,,,,,,,,,,,,,,,,,
Brown building,3039 N Williams Ave,3039 N Williams Ave,,Willamette,commercial,,New,2015,560,1,,,,,,,,,,,,,,,,,
COP Khunamokwst Park,5200 NE Alberta St,5200 NE Alberta St,,Columbia Slough,governmental,,New,2015,310,1,,,,,,,,,,,,,,,,,
COP Interstate O&M Center,2010 N Interstate Ave,2010 N Interstate Ave,,Willamette,governmental,,New,2015,18900,1,,,,,,,,,,,,,,,,,
COP Zenger Farm Urban Grange,11705 SE Foster Rd,11705 SE Foster Rd,,Johnson Creek,governmental,,New,2015,2700,1,,,,,,,,,,,,,,,,,
The Albina,4326 N Mississippi Ave,4326 N Mississippi Ave,,Willamette,commercial,,New,2015,9000,1,,,,,,,,,,,,,,,,,
residence,1041 SW Vista Ave,,,Willamette,residential,,New,2013,300,1,,,,,,,,,,,,,,,,,
Hassalo on Eighth,1088 NE 7th Ave,1088 NE 7th Ave,,Willamette,commercial,  ,New,2015,38000,1,,,,,,,,,,,,,,,,,
Aster Tower,1061 NE 9th Ave,1061 NE 9th Ave,,Willamette,commercial,,New,2015,12000,1,,,,,,,,,,,,,,,,,
Daimler,4747 N Channel Ave,4747 N Channel Ave,,Willamette,commercial,,New,2015,,1,,,,,,,,,,,,,,,,,
COP SW 86th pump station,7000 SW Caroland Rd,7000 SW Caroland Rd,,Fanno/Tryon,governmental,,New,2015,2700,3,,,,,,,,,,,,,,,,,
New Seasons Lombard,6300 N Lombard St,6300 N Lombard St,,Willamette,commercial,,New,2016,,2,,,,,,,,,,,,,,,,,
Block 17,1315 NW 11th Ave,1315 NW 11th Ave,,Willamette,commercial,,New,2015,5100,1,,,,,,,,,,,,,,,,,
Yard,33 NE 3rd Ave,33 NE 3rd Ave,,Willamette,commercial,,New,2016,,1,,,,,,,,,,,,,,,,,
residence,2871 NW Cornell Rd,,,Willamette,residential,,New,2014,180,1,,,,,,,,,,,,,,,,,
residence,231 NE Hancock St,,,Willamette,residential,,New,2015,1000,1,,,,,,,,,,,,,,,,,
residence,4107 N Albina Ave,,,Willamette,residential,,Reroof,,150,1,,,,,,,,,,,,,,,,,
residence,1842 SE Hazel St,,,Willamette,residential,,Reroof,2013,320,1,,,,,,,,,,,,,,,,,
Beech Street Apartments,3650 NE Mallory Ave,,,Willamette,commercial,,New,2014,1700,1,,,,,,,,,,,,,,,,,
