Project,Address,Address (Obscured),Address_Clean,Watershed,Building Use,"Solar over Ecoroof",Type,Year Built,Size (sf),Number,Latitude(Non Obscured),Longitude (Non Obscured),Confidence (Non Obscured),Latitude,Longitude,Confidence,Depth Min,Depth Max,Depth Notes,Composition,Irrigation,Irrigation Notes,Drainage,Plants,Maintenance,Contractor,Notes
residence,3702 NE 14th Ave,NE 14th Ave and NE Beech St,3702 NE 14TH AVE,Willamette,residential,,New,2008,490,1,45.54961777,-122.6515121,High,45.54947,-122.652,High,,,,,,,,,,,
residence,4324 NE 17th Ave,NE 17th Ave and NE Skidmore St,4324 NE 17TH AVE,Willamette,residential,,Reroof,2006,250,1,45.55479431,-122.6479263,High,45.55436,-122.648,High,,,,,,,,,,,
residence,3946 NE 18th Ave,NE 18th Ave and NE Shaver St,3946 NE 18TH AVE,Willamette,residential,,,,50,1,45.55145645,-122.6469345,High,45.55187,-122.648,Manual,,,,,,,,,,,
residence,4626 NE 19th Ave,NE 19th Ave and NE Going St,4626 NE 19TH AVE,Columbia Slough,residential,,,,30,1,45.55675888,-122.6455383,High,45.55636,-122.646,High,,,,,,,,,,,
Sabin Green,4516-4522 NE 19th Ave,4516-4522 NE 19th Ave,4516-4522 NE 19TH AVE,Columbia Slough,commercial,,New,2007,260,2,45.55542983,-122.6458398,High,45.55543,-122.646,High,,,,,,,,,,,
residence,2240 NE Tillamook St,NE 22nd Ave and NE Tillamook St,2240 NE TILLAMOOK ST,Willamette,residential,,Reroof,2011,400,1,45.53713989,-122.6423187,High,45.53743,-122.643,High,,,,,,,,,,,
residence,4644 NE 25th Ave,NE 25th Ave and NE Going St,4644 NE 25TH AVE,Columbia Slough,residential,,Reroof,2004,60,1,45.55700302,-122.6396408,High,45.55634,-122.640,High,,,,,,,,,,,
residence,4731 NE 26th Ave,NE 26th Ave and NE Wygant St,4731 NE 26TH AVE,Columbia Slough,residential,,New,2007,1700,1,45.65548629,-122.6442144,High,45.55766,-122.639,High,,,,,,,,,,,
residence,4728 NE 28th Ave,NE 28th Ave and NE Wygant St,4728 NE 28TH AVE,Columbia Slough,residential,,,2003,40,1,45.65598115,-122.6426239,High,45.55766,-122.637,High,,,,,,,,,,,
residence,3125 E Burnside St,NE 31st Ave and E Burnside St,3125 E BURNSIDE ST,Willamette,residential,,New,2008,150,1,45.52312088,-122.6324921,High,45.52287,-122.633,High,,,,,,,,,,,
residence,3404 NE 32nd Ave,NE 32nd Ave and NE Fremont St,3404 NE 32ND AVE,Willamette,residential,,Reroof,2005,300,1,45.54755783,-122.6324081,High,45.54825,-122.633,High,,,,,,,,,,,
residence,3512 NE Tillamook St,NE 35th Ave and NE Tillamook St,3512 NE TILLAMOOK ST,Willamette,residential,,New,2008,90,1,45.5369072,-122.6279831,High,45.53708,-122.628,High,,,,,,,,,,,
residence,3424 NE 42nd Ave,NE 42nd Ave and NE Fremont St,3424 NE 42ND AVE,Columbia Slough,residential,,Reroof,2005,230,1,45.54795074,-122.6194611,High,45.54830,-122.620,High,,,,,,,,,,,
residence,6108 NE 45th Ave,NE 45th Ave and NE Ainsworth St,6108 NE 45TH AVE,Columbia Slough,residential,,New,2010,80,1,45.56771435,-122.6166715,High,45.56645,-122.617,High,,,,,,,,,,,
residence,2216 NE 50th Ave,NE 50th Ave and NE Thompson St,2216 NE 50TH AVE,Willamette,residential,,Reroof,1996,270,2,45.53861237,-122.611618,High,45.53903,-122.612,High,,,,,,,,,,,
residence,2105 NE 52nd Ave,NE 52nd Ave and NE Tillamook St,2105 NE 52ND AVE,Willamette,residential,,New,2013,50,1,45.53792572,-122.6102142,High,45.53778,-122.610,High,,,,,,,,,,,
residence,6110 NE 53rd Ave,NE 53rd Ave and NE Jarrett St,6110 NE 53RD AVE,Columbia Slough,residential,,New,2006,1150,1,45.66646993,-122.6173266,High,45.56412,-122.609,Manual,,,,,,,,,,,
residence,2813 NE 59th Ave,NE 59th Ave and NE Sandy Blvd,2813 NE 59TH AVE,Willamette,residential,,New,2009,285,1,45.54327393,-122.602829,High,45.54304,-122.603,High,,,,,,,,,,,
residence,25 NE 60th Ave,NE 60th Ave and E Burnside St,25 NE 60TH AVE,Willamette,residential,,Reroof,2009,350,1,45.5233078,-122.6026077,High,45.52287,-122.602,High,,,,,,,,,,,
residence,5919 NE Alberta St,NE 60th Ave and NE Alberta St,5919 NE ALBERTA ST,Columbia Slough,residential,,,,200,1,45.55944061,-122.6016541,High,45.55912,-122.601,High,,,,,,,,,,,
residence,2520 NE 7th Ave,NE 7th Ave and NE Brazee St,2520 NE 7TH AVE,Willamette,residential,,Reroof,2013,1780,1,45.53010941,-122.6580734,High,45.54056,-122.659,High,,,,,,,,,,,
residence,718 NE Dekum St,NE 8th Ave and NE Dekum St,718 NE DEKUM ST,Columbia Slough,residential,,New,2013,1800,1,45.57153702,-122.6578522,High,45.57177,-122.657,High,,,,,,,,,,,
Oregon Sustainable Agriculture Land Trust,822 NE Emerson St,822 NE Emerson St,822 NE EMERSON ST,Columbia Slough,commercial,,New,2010,150,1,45.56175515,-122.6574726,High,45.56180,-122.658,High,,,,,,,,,,,
residence,822 NE Holman St,NE 8th Ave and NE Holman St,822 NE HOLMAN ST,Columbia Slough,residential,,New,2008,145,1,45.56804276,-122.6566544,High,45.56834,-122.657,High,,,,,,,,,,,
residence,4208 NE 8th Ave,NE 8th Ave and NE Skidmore St,4208 NE 8TH AVE,Willamette,residential,,New,2009,390,1,45.5539856,-122.6573257,High,45.55455,-122.658,High,4,6,,Pro Gro Extensive,Yes,Hand,,,,,
residence,NE 9th and Rosa Parks Way,NE 9th and Rosa Parks Way,903 NE ROSA PARKS WAY,Columbia Slough,residential,,New,2012,220,1,45.57036705,-122.6559424,High,45.57032,-122.656,High,4,,,,,,,,,,
residence,4510 NE Going St,Ne Going St and NE 47th Ave,4510 NE GOING ST,Columbia Slough,residential,,Reroof,2010,1000,1,45.5563736,-122.6170273,High,45.55696,-122.615,High,3.5,8,,Philips Soil Products Intensive and Extensive Mix,Yes,Hand,,,,,
residence,1620 NW 130th Ave,NW 130th Ave and NW Marshall St,1620 NW 130TH AVE,,residential,,Reroof,2008,320,1,45.53147125,-122.8105774,High,45.53127,-122.811,High,,,,,,,,,,,
residence,13825 NW Laidlaw Rd,NW 137th Ave and NW Laidlaw Rd,13825 NW LAIDLAW RD,,residential,,New,2004,870,1,45.55707169,-122.8192902,High,45.55586,-122.818,High,,,,,,,,,,,
residence,1913 NW Northrup St,NW 19th Ave and NW Northrup St,1913 NW NORTHRUP ST,Willamette,residential,,Reroof,2010,1200,2,45.5314254,-122.6909566,High,45.53139,-122.691,High,,,,,,,,,,,
residence,2734 NW Savier St,NW 27th Ave and NW Savier St,2734 NW SAVIER ST,Willamette,residential,,Reroof,2009,135,1,45.53440094,-122.7076035,High,45.53463,-122.707,High,5,5,5,,Yes,Hand,,,,,
residence,3425 NW Savier St,NW 33rd Ave and NW Savier St,3425 NW SAVIER ST,Willamette,residential,,New,2004,260,1,45.53462601,-122.7168579,High,45.53446,-122.715,High,,,,,,,,,,,
residence,2035 NW 33rd Ave,NW 33rd Ave and NW Wilson St,2035 NW 33RD AVE,Willamette,residential,,Reroof,2007,360,1,45.53719711,-122.7163467,High,45.53732,-122.716,High,,,,,,,,,,,
residence,515 NW Albemarle Ter,NW Albemarle Ter and NW Ariel Ter,515 NW ALBEMARLE TER,Willamette,residential,,New,2009,550,1,45.52677536,-122.7067108,High,45.52693,-122.707,High,,,,,,,,,,,
residence,648 NW Melinda Ave,NW Melinda Ave and NW Marlborough Ave,648 NW MELINDA AVE,Willamette,residential,,,,300,1,45.52777863,-122.7056046,High,45.52761,-122.705,High,,,,,,,,,,,
residence,14838 NW Newberry Rd,NW Newbery Rd and NW Skyline Blvd,14838 NW NEWBERRY RD,,residential,,New,2010,255,1,45.60324097,-122.8293839,High,45.60567,-122.833,High,,,,,,,,,,,
residence,7943 NW Skyline Blvd,NW Skyline Blvd and NW Tualatin Ave,7943 NW SKYLINE BLVD,,residential,,New,1991,1050,1,45.57889175,-122.7986069,High,45.58104,-122.798,High,,,,,,,,,,,
residence,10505 NW St Helens Rd,NW St Helens Rd and NW 1st St,10505 NW ST HELENS RD,Willamette,residential,,New,,100,1,45.59729385,-122.7855301,High,45.60191,-122.788,High,,,,,,,,,,,
residence,1616 SE 11th Ave,SE 11th Ave and SE Clay St,1616 SE 11TH AVE,Willamette,residential,,Reroof,2011,280,1,45.51118851,-122.6543884,High,45.51151,-122.655,High,,,,,,,,,,,
residence,1616 SE Flavel St,SE 16th St and SE Flavel St,1616 SE FLAVEL ST,Johnson Creek,residential,,New,2010,50,1,45.47063828,-122.6493073,High,45.47084,-122.650,High,,,,,,,,,,,
residence,1715 SE Ash St,SE 17th Ave and SE Ash St,1715 SE ASH ST,Willamette,residential,,New,2010,450,1,45.52151464,-122.6482458,High,45.52147,-122.649,High,,,,,,,,,,,
residence,7755 SE 17th Ave,SE 17th Ave and SE Lambert St,7755 SE 17TH AVE,Johnson Creek,residential,,New,2010,120,4,45.46877772,-122.6471843,High,45.46829,-122.647,High,,,,,,,,,,,
residence,2823 SE 20th Ave,SE 20th Ave and SE Woodward St,2823 SE 20TH AVE,Willamette,residential,,New,2002,380,1,45.50219727,-122.6458511,High,45.50200,-122.646,High,,,,,,,,,,,
residence,2234 SE Grant St,SE 22nd Ave and SE Grant St,2234 SE GRANT ST,Willamette,residential,,New,2010,162,1,45.50680161,-122.6423645,High,45.50704,-122.643,High,,,,,,,,,,,
residence,2754 SE 27th Ave,SE 27th Ave and SE Clinton St,2754 SE 27TH AVE,Willamette,residential,,Reroof,2005,230,1,45.50271225,-122.6383362,High,45.50353,-122.639,High,,,,,,,,,,,
residence,310 SE 27th Ave,SE 27th Ave and SE Pine St,310 SE 27TH AVE,Willamette,residential,,New,2007,840,1,45.52050018,-122.6380157,High,45.52076,-122.638,High,,,,,,,,,,,
residence,2711 SE Pine St,SE 27th Ave and SE Pine St,2711 SE PINE ST,Willamette,residential,,Reroof,2010,100,1,45.52093124,-122.63797,High,45.52076,-122.638,High,,,,,,,,,,,
residence,3016 SE Taggart St,SE 30th Ave and SE Taggart St,3016 SE TAGGART ST,Willamette,residential,,Reroof,2005,190,1,45.50237274,-122.6342468,High,45.50243,-122.635,High,,,,,,,,,,,
residence,2534 SE 31st Ave,SE 31st Ave and SE Division St,2534 SE 31ST AVE,Willamette,residential,,Reroof,2011,95,1,45.50424194,-122.6332626,High,45.50481,-122.634,High,4,4,,Mixed by owner,,Unknown (Hand?),,,,,
residence,3019 SE Woodward St,SE 31st Ave and SE Woodward St,3019 SE WOODWARD ST,Willamette,residential,,Reroof,2005,140,1,45.50217438,-122.6341629,High,45.50194,-122.634,High,,,,,,,,,,,
Reach Development,3630-3650 SE 33rd Ave,3630-3650 SE 33rd Ave,3630-3650 SE 33RD AVE,Willamette,commercial,,New,2006,360,6,45.51647186,-122.6309509,Medium,45.49680,-122.631,High,,,,,,,,,,,
residence,3426 SE Stephens St,SE 35th Ave and SE Stephens St,3426 SE STEPHENS ST,Willamette,residential,,Reroof,2012,260,1,45.50930786,-122.6290131,High,45.50952,-122.629,High,,,,,,,,,,,
